temperature_K,log10_T,q_env,A1,A2,A3,A1_minus_photosphere,A2_minus_photosphere,A3_minus_photosphere,phi1_rad,phi2_rad,phi3_rad,delta_phi1_rad,delta_phi2_rad,delta_phi3_rad,A1_photosphere,A2_photosphere,A3_photosphere,phi1_photosphere_rad,phi2_photosphere_rad,phi3_photosphere_rad
6157.46557916,3.78940199277,0.999998978746,0.0760399101257,0.0712161325108,0.0526221708802,0,0,0,1.32319971593,2.0850829816,2.10998485142,0,0,6.28318530718,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
6241.8185243,3.79531113776,0.999998957904,0.076676772332,0.0738930860938,0.0528013786787,0.000636862206317,0.00267695358304,0.000179207798489,1.36644075631,2.09246787888,2.1021265264,0.0432410403734,0.00738489728615,6.27532698217,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
6337.79041511,3.80193787337,0.999998937062,0.0775093958995,0.0764978029985,0.0528229442218,0.00146948577382,0.0052816704877,0.000200773341561,1.41006857399,2.09762173674,2.0938770004,0.0868688580624,0.0125387551376,6.26707745616,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
6448.37613124,3.80945036176,0.99999891622,0.0785450806927,0.0790122919866,0.0527057139997,0.00250517056694,0.00779615947584,8.35431195127e-05,1.45374623458,2.10069494062,2.08545662529,0.130546518643,0.0156119590217,6.25865708105,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
6576.86972826,3.81801923963,0.999998895378,0.0797885674247,0.0814207390939,0.0524716108833,0.00374865729903,0.0102046065831,-0.000150559996917,1.49713702435,2.10182046331,2.07711892887,0.173937308419,0.0167374817124,6.25031938464,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
6725.51257268,3.8277253889,0.999998874536,0.0812419169957,0.0837098815363,0.0521449939958,0.00520200686995,0.0124937490255,-0.000477176884371,1.53991572896,2.10111945387,2.06915015863,0.216716013032,0.016036472271,6.24235061439,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
6894.88894703,3.83852727558,0.999998853694,0.0829048312814,0.0858688413268,0.0517511793382,0.00686492115567,0.014652708816,-0.000870991542051,1.58177782263,2.09870149652,2.061872906,0.258578106694,0.0136185149206,6.23507336176,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
7085.29733634,3.85035808025,0.999998832852,0.0847745114231,0.0878894956537,0.0513160851889,0.00873460129735,0.0166733631429,-0.0013060856913,1.62244782873,2.09467390238,2.0556242606,0.299248112798,0.00959092078056,6.22882471637,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
7298.8526347,3.86325459525,0.999998812011,0.0868460194594,0.0897661787467,0.0508650774694,0.0108061093337,0.0185500462359,-0.00175709341083,1.66168414159,2.08914143342,2.05074715815,0.338484425663,0.00405845182335,6.22394761392,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
7542.65097636,3.87752401193,0.999998791169,0.0891123153499,0.0914958463941,0.050422572003,0.0130724052242,0.0202797138834,-0.0021995988772,1.69928246662,2.08221037359,2.04756537385,0.376082750684,-0.00287260801013,6.22076582962,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
