phase,age_days,abs_mag_V,abs_mag_I,radius_rsun,teff_k,log_L
0,1036.1673599,0.536795672626,0.10171692979,5.39464827916,6636.40343227,1.69440024564
0.00098968878297,1036.16774117,0.537870950507,0.102432869519,5.39464771996,6634.97451674,1.69404188728
0.00191429607056,1036.16809736,0.538871029379,0.103098999062,5.39464178028,6633.64689943,1.69370854113
0.00283890335756,1036.16845355,0.539866427812,0.103762256935,5.39463060402,6632.32679616,1.69337670813
0.00376351064573,1036.16880974,0.540856832357,0.104422430347,5.39461418803,6631.0146011,1.69304649354
0.00468811793273,1036.16916593,0.541842526984,0.105079712233,5.39459252941,6629.70994811,1.69271780199
0.00561272522032,1036.16952212,0.542823884495,0.105734356022,5.39456562547,6628.41235908,1.69239050828
0.00653733250791,1036.16987831,0.543801339048,0.106386656895,5.39453347376,6627.12127859,1.69206446657
0.00746193979491,1036.1702345,0.5447753468,0.107036924924,5.39449607208,6625.83612354,1.69173952365
0.0083865470825,1036.17059069,0.545746353609,0.107685462914,5.39445341847,6624.55632326,1.6914155298
0.00931115436949,1036.17094688,0.54671478387,0.108332558763,5.39440551121,6623.28133344,1.6910923426
0.0102357616577,1036.17130308,0.547681028857,0.108978477598,5.39435234887,6622.01065115,1.69076983079
0.0111603689447,1036.17165927,0.548645406135,0.109623434361,5.39429393023,6620.74386699,1.69044788789
0.0120849762323,1036.17201546,0.549608139728,0.110267580519,5.39423025439,6619.48069089,1.6901264388
0.0130095835198,1036.17237165,0.550569366192,0.110911008364,5.39416132069,6618.22094507,1.68980543777
0.0139341908068,1036.17272784,0.551529120661,0.111553741656,5.39408712875,6616.96458211,1.68948487304
0.0148587980944,1036.17308403,0.552487310349,0.1121957177,5.3940076785,6615.71171874,1.68916477572
0.015783405382,1036.17344022,0.553443780191,0.112836711253,5.39392297015,6614.46205214,1.68884522059
0.0167080126696,1036.17379641,0.554398163801,0.113476535254,5.3938330042,6613.21630119,1.68852631901
0.0176326199566,1036.1741526,0.555350015642,0.114114949493,5.39373778147,6611.975287,1.68820820879
0.0185572272442,1036.17450879,0.556298888861,0.114751651579,5.39363730311,6610.73957779,1.68789103979
0.0194818345318,1036.17486499,0.557244347591,0.115386346352,5.39353157099,6609.50972645,1.68757495823
0.0204064418188,1036.17522118,0.558185979174,0.116018754074,5.39342058997,6608.28625465,1.68726010259
0.0213310491064,1036.17557737,0.559123423595,0.11664863035,5.39330436991,6607.06961527,1.68694659376
0.022255656394,1036.17593356,0.560056367016,0.117275761826,5.39318292611,6605.860201,1.68663453717
0.0231802636815,1036.17628975,0.56098456997,0.117899985466,5.39305627948,6604.65830923,1.68632401334
0.0241048709685,1036.17664594,0.561907902414,0.118521212522,5.3929244567,6603.46409842,1.68601506602
0.0250294782561,1036.17700213,0.56282635045,0.11913943322,5.39278749028,6602.27758019,1.68570769995
0.0259540855437,1036.17735832,0.56373999703,0.119754703727,5.39264541861,6601.0986442,1.68540188734
0.0268786928307,1036.17771451,0.564648999311,0.120367130792,5.39249828597,6599.927087,1.68509757541
0.0278033001183,1036.17807071,0.565553568121,0.120976857767,5.39234614246,6598.76263803,1.68479469335
0.0287279074059,1036.1784269,0.566453950057,0.121584052344,5.39218904388,6597.6049818,1.68449315833
0.0296525146929,1036.17878309,0.567350407487,0.122188892797,5.39202705163,6596.45378263,1.68419288223
0.0305771219805,1036.17913928,0.568243198381,0.122791554153,5.39186023245,6595.30870957,1.68389377847
0.0315017292681,1036.17949547,0.569132557881,0.123392195644,5.39168865827,6594.16945958,1.68359576821
0.0324263365557,1036.17985166,0.570018713688,0.123990918716,5.39151240591,6593.03552188,1.68329878503
0.0333509438427,1036.18020785,0.570901859241,0.124587801405,5.39133155681,6591.90642892,1.68300277409
0.0342755511302,1036.18056404,0.571782081211,0.125183008213,5.39114619675,6590.78250364,1.68270768631
0.0352001584178,1036.18092023,0.572659509445,0.125776627335,5.3909564155,6589.6635789,1.6824134781
0.0361247657048,1036.18127642,0.573534239234,0.126368724129,5.39076230651,6588.54953391,1.68212011736
0.0370493729924,1036.18163262,0.574406324824,0.126959336582,5.39056396661,6587.44030199,1.68182758565
0.03797398028,1036.18198881,0.575275781925,0.1275484767,5.39036149562,6586.33586597,1.68153587747
0.0388985875676,1036.182345,0.576142579703,0.12813612472,5.3901549961,6585.23626687,1.68124500296
0.0398231948546,1036.18270119,0.577006625077,0.12872221816,5.38994457296,6584.1416225,1.68095499325
0.0407478021422,1036.18305738,0.577867758491,0.129306648819,5.38973033322,6583.05213223,1.68066590189
0.0416724094298,1036.18341357,0.578725764966,0.129889270405,5.38951238568,6581.96806343,1.68037780115
0.0425970167168,1036.18376976,0.579580386,0.130469906977,5.38929084065,6580.88973792,1.68009077791
0.0435216240044,1036.18412595,0.580431338907,0.13104836646,5.38906580969,6579.81750904,1.67980492712
0.0444462312919,1036.18448214,0.581278340556,0.131624456976,5.38883740541,6578.75173256,1.67952034379
0.0453708385795,1036.18483833,0.582121133389,0.132198004479,5.38860574116,6577.69273364,1.67923711426
0.0462954458665,1036.18519453,0.582959510318,0.132768869383,5.3883709309,6576.64077434,1.67895530788
0.0472200531541,1036.18555072,0.583793321642,0.133336950832,5.38813308896,6575.59604317,1.67867497477
0.0481446604417,1036.18590691,0.584622457268,0.133902174254,5.3878923299,6574.55867603,1.67839615187
0.0490692677287,1036.1862631,0.585446827385,0.134464478127,5.38764876828,6573.52878024,1.67811886945
0.0499938750163,1036.18661929,0.586266361882,0.135023813863,5.3874025186,6572.5064364,1.67784315126
0.0509184823039,1036.18697548,0.587081089105,0.135580090784,5.38715369508,6571.49115419,1.67756900853
0.0518430895915,1036.18733167,0.587890989509,0.136133370614,5.38690241155,6570.48326226,1.67729643367
0.0527676968785,1036.18768786,0.588696122669,0.1366837287,5.38664878135,6569.48282479,1.67702540011
0.0536923041661,1036.18804405,0.589496610813,0.13723124871,5.3863929172,6568.48968673,1.67675586669
0.0546169114536,1036.18840025,0.590292604192,0.137776033315,5.38613493109,6567.50365769,1.67648778283
0.0555415187406,1036.18875644,0.591084264488,0.138318192482,5.3858749342,6566.52453111,1.67622109422
0.0564661260282,1036.18911263,0.591871749365,0.138857832787,5.3856130368,6565.55210293,1.67595574803
0.0573907333158,1036.18946882,0.59265520322,0.139395051374,5.38534934816,6564.58618421,1.67569169595
0.0583153406034,1036.18982501,0.593434755886,0.139929935572,5.38508397648,6563.62660481,1.67542889455
0.0592399478904,1036.1901812,0.594210527289,0.140462566508,5.38481702886,6562.67320934,1.67516730363
0.060164555178,1036.19053739,0.594982633016,0.140993023069,5.38454861115,6561.72585085,1.67490688431
0.0610891624656,1036.19089358,0.595751192398,0.141521387226,5.38427882795,6560.78438002,1.67464759635
0.0620137697526,1036.19124977,0.596516300005,0.142047724289,5.38400778237,6559.84867941,1.67438940781
0.0629383770402,1036.19160596,0.597278022959,0.142572080607,5.38373557586,6558.91866494,1.67413229599
0.0638629843278,1036.19196216,0.598036395725,0.143094479816,5.38346230805,6557.99429147,1.67387624931
0.0647875916153,1036.19231835,0.598791428962,0.143614928965,5.38318807646,6557.07554215,1.67362126421
0.0657121989023,1036.19267454,0.599543120008,0.144133426026,5.38291297638,6556.1624168,1.67336734165
0.0666368061899,1036.19303073,0.600291455577,0.144649962137,5.3826371006,6555.25493018,1.67311448607
