temperature_K,log10_T,q_env,A1,A2,A3,A1_minus_photosphere,A2_minus_photosphere,A3_minus_photosphere,phi1_rad,phi2_rad,phi3_rad,delta_phi1_rad,delta_phi2_rad,delta_phi3_rad,A1_photosphere,A2_photosphere,A3_photosphere,phi1_photosphere_rad,phi2_photosphere_rad,phi3_photosphere_rad
5997.12867277,3.77794336704,0.999997013728,0.0119052456817,0.00107056949194,0.000110819868547,0,0,0,1.33696748236,2.38341052799,3.56805474515,0,0,6.28318530718,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
6104.00628097,3.78561497183,0.999996925896,0.011895211927,0.00107216158584,0.000114514179426,-1.00337546894e-05,1.59209389704e-06,3.69431087816e-06,1.33918650861,2.39728486939,3.59953113941,0.00221902625294,0.0138743414048,6.31466170144,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
6229.62191821,3.79446168971,0.999996838065,0.0118759619299,0.00107564374386,0.000123893819141,-2.92837518016e-05,5.07425192091e-06,1.3073950594e-05,1.34264532404,2.4225500818,3.65826519813,0.00567784168348,0.0391395538162,6.37339576016,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
6380.48108169,3.80485342531,0.999996750233,0.0118384473968,0.00108588061992,0.000146941491239,-6.67982848321e-05,1.5311127976e-05,3.61216226918e-05,1.34864835755,2.4737013623,3.75390198049,0.0116808751845,0.0902908343079,6.46903254251,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
6564.42357205,3.81719659631,0.999996662402,0.0117682299238,0.00111296999347,0.000184746532498,-0.00013701575783,4.24005015268e-05,7.39266639509e-05,1.35942865049,2.56549757336,3.86049096657,0.0224611681329,0.182087045367,6.5756215286,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
6786.35871756,3.83163681212,0.99999657457,0.0116503451656,0.00117071582251,0.000225840156459,-0.000254900516041,0.000100146330567,0.000115020287911,1.37777794356,2.69546789393,3.94891843683,0.0408104611955,0.312057365939,6.66404899885,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
7043.15012304,3.84776694537,0.999996486738,0.011478052162,0.0012675039931,0.000256196834297,-0.000427193519648,0.000196934501159,0.00014537696575,1.4063500792,2.83764686323,4.00201909607,0.0693825968421,0.454236335242,6.7171496581,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
7328.23576108,3.86499943283,0.999996398907,0.0112619032276,0.00139212376982,0.000264345191369,-0.000643342454109,0.000321554277874,0.000153525322822,1.44655811823,2.95875851807,4.01634679817,0.109590635874,0.575347990083,6.7314773602,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
7637.46459554,3.88294921003,0.999996311075,0.0110294218449,0.00151429353387,0.000247434569614,-0.000875823836783,0.000443724041924,0.000136614701067,1.49780223138,3.04125877652,4.01317405704,0.160834749022,0.657848248531,6.72830461906,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
7966.48187057,3.90126657215,0.999996223244,0.0108138781495,0.00160623545195,0.000220923325929,-0.00109136753217,0.000535665960011,0.000110103457382,1.55760913641,3.08837641933,4.02466050482,0.220641654051,0.70496589134,6.73979106685,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
8302.24413779,3.9191955002,0.999996135412,0.0106413352116,0.00166457478152,0.000204387952682,-0.00126391047003,0.000594005289576,9.35680841344e-05,1.62253628047,3.11424401917,4.06084192939,0.285568798111,0.730833491178,6.77597249142,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
8623.26797723,3.93567188247,0.999996047581,0.0105245380269,0.0017047763691,0.000202690332315,-0.00138070765473,0.000634206877161,9.18704637675e-05,1.68949304911,3.13200627545,4.09682040655,0.352525566746,0.748595747461,6.81195096857,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
8911.93509853,3.94997201508,0.999995959749,0.010465705821,0.00174291501286,0.000207234127398,-0.00143953986064,0.000672345520916,9.64142588509e-05,1.75656219651,3.14831532923,4.11937488822,0.419594714152,0.764904801243,6.83450545025,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
9164.14371115,3.96209189113,0.999995871918,0.0104629675545,0.00178469921554,0.000211659402622,-0.00144227812721,0.000714129723597,0.000100839534074,1.82289889941,3.16423566261,4.13605668322,0.485931417047,0.780825134618,6.85118724525,0.0119052456817,0.00107056949194,0.000110819868547,1.33696748236,2.38341052799,9.85124005233
